geo_id,est_households_2010,est_med_income_2010,est_households_2015,est_med_income_2015,,,
01001020100,696,70222,697,61838,,,
01001020200,730,41091,729,32303,,,
01001020300,1287,44031,1152,44922,,,
01001020400,1839,56627,1618,54329,,,
01001020500,3741,68317,4216,51965,,,
01001020600,1308,45313,1198,63092,,,
01001020700,1139,35020,1092,34821,,,
01001020801,946,80625,1107,73728,,,
01001020802,3659,58420,4010,60063,,,
01001020900,1934,48500,2163,41287,,,
01001021000,1116,52172,1150,49091,,,
01001021100,1323,40078,1264,32381,,,
01003010100,1431,39099,1413,39719,,,
01003010200,1074,42406,1081,31390,,,
01003010300,2625,51827,2446,51165,,,
01003010400,1781,46823,1669,44985,,,
01003010500,1425,49267,1892,41944,,,
01003010600,1147,33203,1263,27587,,,
01003010701,3544,75536,2991,74688,,,
01003010703,4366,73822,5916,82985,,,
01003010704,2003,73711,1803,62015,,,
01003010705,3418,46262,3756,48816,,,
01003010800,2913,53170,2678,51604,,,
01003010903,1814,41983,1811,48448,,,
01003010904,2340,41461,2317,44621,,,
01003010905,2441,44710,3111,45859,,,
01003010906,1540,48011,1575,42474,,,
01003011000,1576,38977,1561,28979,,,
01003011101,3532,60621,3557,61590,,,
01003011102,1330,48333,1529,60807,,,
01003011201,2090,53368,1927,58053,,,
01003011202,2252,43952,2107,51206,,,
01003011300,1525,53508,1723,58844,,,
01003011401,3734,39891,3842,48413,,,
01003011403,3150,45374,4362,45160,,,
01003011405,1847,77452,1697,65087,,,
01003011406,1307,51929,1426,41970,,,
01003011407,2066,52933,2324,34464,,,
01003011408,355,70481,314,52159,,,
01003011501,1915,34974,2402,41417,,,
01003011502,3702,38857,4932,39525,,,
01003011601,2683,35853,2224,37102,,,
01003011602,2550,43167,2455,45782,,,
01003990000,0,,0,,,,
01005950100,1458,35691,1231,38365,,,
01005950200,1131,26164,1081,28715,,,
01005950300,735,33633,663,28427,,,
01005950400,1036,30823,987,38311,,,
01005950500,1425,43544,1351,36426,,,
01005950600,750,26402,707,28321,,,
01005950700,563,44609,622,24464,,,
01005950800,904,40200,884,38389,,,
01005950900,1793,21643,1696,29891,,,
01007010001,1081,40010,950,44612,,,
01007010002,1962,54081,2090,40357,,,
01007010003,1803,45036,1655,41769,,,
01007010004,2595,33771,2332,34108,,,
01009050101,2519,44503,2821,40982,,,
01009050102,2429,40480,2757,43325,,,
01009050200,1360,47963,1301,46813,,,
01009050300,1927,38072,1931,37548,,,
01009050400,1826,35977,1748,39100,,,
01009050500,2684,45571,2487,40055,,,
01009050601,1365,52596,1359,45568,,,
01009050602,3254,53899,3303,66067,,,
01009050700,3241,46236,3109,46452,,,
01011952100,554,33094,692,29189,,,
01011952200,2187,25316,1833,31355,,,
01011952500,991,36497,1158,39792,,,
01013952700,986,23889,924,30517,,,
01013952800,693,44811,634,47500,,,
01013952900,705,30274,802,34936,,,
01013953000,514,33700,571,45750,,,
01013953100,1073,25924,1074,21167,,,
01013953200,1657,35170,1638,32282,,,
01013953300,779,43656,728,42841,,,
01013953400,1010,19928,1141,25516,,,
01013953500,602,29750,544,27222,,,
01015000200,1341,34180,1512,27161,,,
01015000300,1330,19022,1082,15781,,,
01015000400,1150,21957,1022,22027,,,
01015000500,743,14107,671,15417,,,
01015000600,796,16277,679,11996,,,
01015000700,1318,25548,1188,30048,,,
01015000800,478,18587,489,18304,,,
01015000900,1578,62625,1673,50051,,,
01015001000,2718,55161,2639,44882,,,
01015001100,2435,48224,2661,51767,,,
01015001201,1335,34734,1276,30273,,,
01015001202,1432,45240,1469,52123,,,
01015001300,918,23973,815,34063,,,
01015001400,1348,32367,1373,35740,,,
01015001500,2159,37991,1807,47426,,,
01015001600,1470,35488,1380,32326,,,
01015001700,2500,54406,2544,53902,,,
01015001800,2556,38981,2525,43856,,,
01015002000,2691,55159,2702,53312,,,
01015002101,1207,10595,1101,20756,,,
01015002102,1278,57222,1268,54672,,,
01015002103,2561,34463,2602,41833,,,
01015002200,1555,31060,1340,38875,,,
01015002300,1608,34583,1580,28033,,,
01015002400,1741,50122,1629,56431,,,
01015002501,2836,42656,2762,51415,,,
01015002502,1622,43295,1651,50972,,,
01015002600,1692,46842,1710,54839,,,
01015981901,13,,4,,,,
01015981902,12,,0,,,,
01015981903,0,,0,,,,
01017953800,1547,32068,1480,36357,,,
01017953900,1253,31743,1263,31022,,,
01017954000,2514,35199,2803,33719,,,
01017954200,1529,34622,1384,38523,,,
01017954300,1760,28136,2038,41400,,,
01017954400,419,24291,462,25204,,,
01017954500,1334,26075,1495,22618,,,
01017954600,1450,36828,1120,35804,,,
01017954700,1875,31368,1742,35515,,,
01019955701,1665,38220,1601,36152,,,
01019955702,1719,31723,1830,29492,,,
01019955800,2091,43125,2362,39660,,,
01019955900,1815,42658,1734,42874,,,
01019956000,1643,42940,1853,37832,,,
01019956100,2419,30368,1898,36277,,,
01021060101,1923,35033,1799,43017,,,
01021060102,2471,35688,2433,41717,,,
01021060200,1118,41042,1189,45398,,,
01021060300,1367,50813,1404,42875,,,
01021060401,1924,51473,2190,46131,,,
01021060402,3297,36436,2945,40612,,,
01021060500,1239,38007,1153,41536,,,
01021060600,1200,42133,1148,35370,,,
01021060700,2024,34531,1976,40247,,,
01023956700,1179,17768,1205,35799,,,
01023956800,1792,33359,1926,30994,,,
01023956900,1409,38508,1531,41573,,,
01023957000,916,39135,913,27750,,,
01025957500,498,40781,582,27267,,,
01025957601,418,31250,340,40536,,,
01025957602,1792,31389,2233,35941,,,
01025957700,577,17452,529,32708,,,
01025957800,2252,21195,2089,27431,,,
01025957901,1227,31576,1448,29684,,,
01025957902,1346,35160,1432,35259,,,
01025958001,483,19886,401,26420,,,
01025958002,551,22956,568,29048,,,
01027958900,2171,36971,2081,42801,,,
01027959000,1402,32705,1398,28426,,,
01027959100,1214,37135,1088,33563,,,
01027959200,1064,38462,852,28854,,,
01029959500,752,34786,1040,34779,,,
01029959600,1464,33889,1569,27104,,,
01029959700,1451,35464,1317,40579,,,
01029959800,1730,39044,1850,45857,,,
01031010100,806,35588,804,37222,,,
01031010200,793,35474,734,36250,,,
01031010300,1659,41830,1790,49583,,,
01031010400,953,36823,831,35129,,,
01031010500,1664,28710,1582,31371,,,
01031010600,612,33375,578,36974,,,
01031010700,799,44107,890,41429,,,
01031010800,1071,53990,1064,57167,,,
01031010900,834,33051,859,37473,,,
01031011000,1363,38722,1296,44732,,,
01031011100,787,35273,773,44861,,,
01031011201,2791,75048,3201,88560,,,
01031011202,3203,47130,3128,54918,,,
01031011300,1593,19944,1630,21813,,,
01033020100,1599,40731,1437,36555,,,
01033020200,715,31164,961,37188,,,
01033020300,941,19363,908,19731,,,
01033020400,635,60104,622,50500,,,
01033020500,2099,36811,2065,49052,,,
01033020600,1838,30812,1917,36442,,,
01033020701,2334,55407,2394,44474,,,
01033020703,2107,43604,2186,56458,,,
01033020704,1745,44962,1879,43423,,,
01033020801,1834,46370,1810,45183,,,
01033020802,1417,30491,1358,35850,,,
01033020901,1665,44816,1531,42225,,,
01033020902,1610,36023,1523,39152,,,
01033021000,1626,34188,1613,33594,,,
01035960200,573,35150,717,35919,,,
01035960300,707,38750,644,27325,,,
01035960400,1330,25769,1412,26953,,,
01035960500,527,25129,713,19245,,,
01035960600,1724,25196,1682,19719,,,
01037961000,1508,27243,1518,26448,,,
01037961100,1774,39615,1492,39545,,,
01037961200,1279,42594,1440,31957,,,
01039961600,1472,46250,1724,50388,,,
01039961700,1681,35208,1697,32697,,,
01039961800,1030,26645,1147,33365,,,
01039961900,851,56950,864,47155,,,
01039962000,1418,36418,1610,33900,,,
01039962100,969,18795,768,26016,,,
01039962300,920,56563,1267,41174,,,
01039962400,1307,38050,1294,46582,,,
01039962500,606,21429,496,45833,,,
01039962600,498,25595,586,21667,,,
01039962700,852,22159,622,27155,,,
01039962800,695,36750,695,39837,,,
01039962900,702,35536,752,42692,,,
01039963000,1662,30303,1427,26277,,,
01041963400,624,36802,806,38625,,,
01041963500,621,40956,689,48580,,,
01041963600,1402,34702,1188,33070,,,
01041963700,1564,35455,1417,35590,,,
01041963800,858,25521,674,36000,,,
01041963900,572,42935,609,34107,,,
01043964100,2338,39649,2119,34583,,,
01043964200,2832,41812,2826,35928,,,
01043964300,1893,43536,1906,43317,,,
01043964400,1591,34259,1568,42033,,,
01043964500,1655,34327,1623,40230,,,
01043964600,1349,46010,1395,39409,,,
01043964700,1624,44444,1781,46455,,,
01043964800,1865,27273,1825,37123,,,
01043964900,2558,39526,2532,40437,,,
01043965000,2428,35691,2566,36536,,,
01043965100,1355,41860,1409,36458,,,
01043965200,865,44107,902,43816,,,
01043965300,1695,38851,1887,35948,,,
01043965401,1264,27824,1175,27272,,,
01043965402,1718,38302,1601,35737,,,
01043965500,2386,38904,2135,52269,,,
01043965600,898,30313,974,43810,,,
01043965700,949,40864,1063,37181,,,
01045020000,1387,46663,1230,59265,,,
01045020100,1548,45806,1405,46076,,,
01045020200,887,56469,898,50208,,,
01045020300,870,39394,954,45833,,,
01045020400,968,48380,964,48889,,,
01045020500,961,26090,882,31310,,,
01045020700,1365,23678,1367,21318,,,
01045020801,1273,42063,1327,45417,,,
01045020802,1888,51250,1775,45123,,,
01045021101,1456,36734,1659,59696,,,
01045021102,2031,47054,1827,42276,,,
01045021200,980,46591,940,51532,,,
01045021300,1512,46923,1667,44344,,,
01045021400,2419,36901,2123,37194,,,
01047956100,2564,39836,2561,42521,,,
01047956201,1088,37560,1038,32857,,,
